Melhores parâmetros: -0.020118 com {'epochs': 472, 'fun': 'relu', 'layer2': False, 'ln': 0.01, 'n': 23}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0601  0.0360  10  0.1000      False   relu      38
1  -0.0475  0.0226  17  0.1000       True   relu     716
2  -0.0509  0.0240   7  0.0100       True   tanh     130
3  -0.1668  0.1472  19  0.0010      False   tanh     282
4  -0.0332  0.0252  29  0.0010      False   relu     469
5  -0.0440  0.0125  88  0.1000      False   tanh     926
6  -0.0276  0.0305  95  0.0001       True   relu     984
7  -0.0374  0.0131  10  0.0100       True   tanh     865
8  -0.6505  0.2874  58  0.0010       True   relu       8
9  -0.0216  0.0125   9  0.0100      False   tanh     514
10 -0.0320  0.0237  73  0.0001       True   relu     729
11 -0.0580  0.0271  22  0.0010       True   relu     543
12 -0.0313  0.0168  25  0.1000       True   relu     562
13 -0.0367  0.0357  53  0.0010      False   relu     498
14 -0.0205  0.0068  83  0.0100       True   relu     337
15 -0.1402  0.1358  99  0.0100      False   tanh      16
16 -0.0201  0.0085  23  0.0100      False   relu     472
17 -0.0427  0.0419  24  0.0010       True   relu     778
18 -0.0598  0.0294  58  0.0100       True   tanh     382
19 -0.0992  0.0642  35  0.1000      False   tanh     596
