Melhores parâmetros: -0.046903 com {'epochs': 382, 'fun': 'tanh', 'layer2': True, 'ln': 0.01, 'n': 58}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0645  0.0416  10  0.1000      False   relu      38
1  -0.0641  0.0564  17  0.1000       True   relu     716
2  -0.0862  0.0612   7  0.0100       True   tanh     130
3  -0.2029  0.1358  19  0.0010      False   tanh     282
4  -0.0800  0.0655  29  0.0010      False   relu     469
5  -0.0778  0.0276  88  0.1000      False   tanh     926
6  -0.0515  0.0356  95  0.0001       True   relu     984
7  -0.0687  0.0214  10  0.0100       True   tanh     865
8  -0.6591  0.3820  58  0.0010       True   relu       8
9  -0.0491  0.0206   9  0.0100      False   tanh     514
10 -0.0656  0.0518  73  0.0001       True   relu     729
11 -0.0932  0.0746  22  0.0010       True   relu     543
12 -0.0609  0.0349  25  0.1000       True   relu     562
13 -0.0643  0.0541  53  0.0010      False   relu     498
14 -0.0486  0.0210  83  0.0100       True   relu     337
15 -0.1458  0.0975  99  0.0100      False   tanh      16
16 -0.0572  0.0400  23  0.0100      False   relu     472
17 -0.0648  0.0397  24  0.0010       True   relu     778
18 -0.0469  0.0150  58  0.0100       True   tanh     382
19 -0.1211  0.0594  35  0.1000      False   tanh     596
