Melhores parâmetros: -0.024730 com {'epochs': 514, 'fun': 'tanh', 'layer2': False, 'ln': 0.01, 'n': 9}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.1081  0.0631  10  0.1000      False   relu      38
1  -0.0664  0.0302  17  0.1000       True   relu     716
2  -0.0666  0.0518   7  0.0100       True   tanh     130
3  -0.1589  0.0954  19  0.0010      False   tanh     282
4  -0.0540  0.0180  29  0.0010      False   relu     469
5  -0.0817  0.0499  88  0.1000      False   tanh     926
6  -0.0468  0.0338  95  0.0001       True   relu     984
7  -0.0461  0.0361  10  0.0100       True   tanh     865
8  -0.6256  0.4370  58  0.0010       True   relu       8
9  -0.0247  0.0078   9  0.0100      False   tanh     514
10 -0.0537  0.0333  73  0.0001       True   relu     729
11 -0.0444  0.0262  22  0.0010       True   relu     543
12 -0.0498  0.0311  25  0.1000       True   relu     562
13 -0.0455  0.0205  53  0.0010      False   relu     498
14 -0.0463  0.0276  83  0.0100       True   relu     337
15 -0.1290  0.0492  99  0.0100      False   tanh      16
16 -0.0293  0.0220  23  0.0100      False   relu     472
17 -0.0492  0.0309  24  0.0010       True   relu     778
18 -0.0612  0.0426  58  0.0100       True   tanh     382
19 -0.0870  0.0293  35  0.1000      False   tanh     596
