Melhores parâmetros: -0.179068 com {'epochs': 716, 'fun': 'relu', 'layer2': True, 'ln': 0.1, 'n': 17}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.3152  0.1605  10  0.1000      False   relu      38
1  -0.1791  0.0721  17  0.1000       True   relu     716
2  -0.3958  0.1451   7  0.0100       True   tanh     130
3  -0.4210  0.1461  19  0.0010      False   tanh     282
4  -0.2814  0.1289  29  0.0010      False   relu     469
5  -0.2913  0.1916  88  0.1000      False   tanh     926
6  -0.2177  0.0970  95  0.0001       True   relu     984
7  -0.4144  0.2664  10  0.0100       True   tanh     865
8  -0.7031  0.6155  58  0.0010       True   relu       8
9  -0.3771  0.1029   9  0.0100      False   tanh     514
10 -0.2085  0.1303  73  0.0001       True   relu     729
11 -0.2313  0.1056  22  0.0010       True   relu     543
12 -0.2536  0.0942  25  0.1000       True   relu     562
13 -0.3133  0.1946  53  0.0010      False   relu     498
14 -0.2146  0.0654  83  0.0100       True   relu     337
15 -0.5995  0.4022  99  0.0100      False   tanh      16
16 -0.2663  0.1284  23  0.0100      False   relu     472
17 -0.2861  0.1056  24  0.0010       True   relu     778
18 -0.3715  0.2260  58  0.0100       True   tanh     382
19 -0.3704  0.2159  35  0.1000      False   tanh     596
