Melhores parâmetros: -1.119220 com {'epochs': 8, 'fun': 'relu', 'layer2': True, 'ln': 0.001, 'n': 58}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -2.3291  1.6657  10  0.1000      False   relu      38
1  -2.7783  1.3220  17  0.1000       True   relu     716
2  -1.7020  1.5117   7  0.0100       True   tanh     130
3  -1.2046  1.3163  19  0.0010      False   tanh     282
4  -1.8122  1.4177  29  0.0010      False   relu     469
5  -2.2988  1.1347  88  0.1000      False   tanh     926
6  -2.4199  1.4460  95  0.0001       True   relu     984
7  -2.6785  2.0843  10  0.0100       True   tanh     865
8  -1.1192  1.3346  58  0.0010       True   relu       8
9  -3.3649  1.9815   9  0.0100      False   tanh     514
10 -2.0597  1.4945  73  0.0001       True   relu     729
11 -2.5993  1.3612  22  0.0010       True   relu     543
12 -5.0249  3.8397  25  0.1000       True   relu     562
13 -1.7929  1.3717  53  0.0010      False   relu     498
14 -3.2144  1.4446  83  0.0100       True   relu     337
15 -1.2283  1.3321  99  0.0100      False   tanh      16
16 -5.0928  2.7333  23  0.0100      False   relu     472
17 -2.4024  1.4448  24  0.0010       True   relu     778
18 -2.3950  1.3586  58  0.0100       True   tanh     382
19 -2.0408  1.5814  35  0.1000      False   tanh     596
