Melhores parâmetros: -1.008605 com {'epochs': 8, 'fun': 'relu', 'layer2': True, 'ln': 0.001, 'n': 58}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -1.3446  0.8536  10  0.1000      False   relu      38
1  -1.3778  0.8654  17  0.1000       True   relu     716
2  -1.7335  0.8901   7  0.0100       True   tanh     130
3  -1.2231  0.9306  19  0.0010      False   tanh     282
4  -1.6888  1.0424  29  0.0010      False   relu     469
5  -2.4313  1.0709  88  0.1000      False   tanh     926
6  -1.6397  1.1452  95  0.0001       True   relu     984
7  -2.5545  1.1688  10  0.0100       True   tanh     865
8  -1.0086  1.0581  58  0.0010       True   relu       8
9  -2.0790  0.9623   9  0.0100      False   tanh     514
10 -1.5736  1.1217  73  0.0001       True   relu     729
11 -2.2032  1.2127  22  0.0010       True   relu     543
12 -1.6044  1.0915  25  0.1000       True   relu     562
13 -1.6065  1.0572  53  0.0010      False   relu     498
14 -2.3777  1.1357  83  0.0100       True   relu     337
15 -1.1823  0.8124  99  0.0100      False   tanh      16
16 -3.8059  2.2987  23  0.0100      False   relu     472
17 -1.9280  1.0316  24  0.0010       True   relu     778
18 -2.4440  0.8926  58  0.0100       True   tanh     382
19 -3.4344  2.0478  35  0.1000      False   tanh     596
