Melhores parâmetros: -0.334324 com {'epochs': 130, 'fun': 'tanh', 'layer2': True, 'ln': 0.01, 'n': 7}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.7481  0.3146  10  0.1000      False   relu      38
1  -0.6860  0.2806  17  0.1000       True   relu     716
2  -0.3343  0.0631   7  0.0100       True   tanh     130
3  -0.5647  0.3897  19  0.0010      False   tanh     282
4  -0.7197  0.5254  29  0.0010      False   relu     469
5  -0.4923  0.4031  88  0.1000      False   tanh     926
6  -0.5555  0.2344  95  0.0001       True   relu     984
7  -0.4475  0.0685  10  0.0100       True   tanh     865
8  -0.7755  0.4614  58  0.0010       True   relu       8
9  -0.7685  0.3712   9  0.0100      False   tanh     514
10 -0.5553  0.1478  73  0.0001       True   relu     729
11 -0.8510  0.2094  22  0.0010       True   relu     543
12 -0.6103  0.2008  25  0.1000       True   relu     562
13 -0.7665  0.5600  53  0.0010      False   relu     498
14 -0.7079  0.2277  83  0.0100       True   relu     337
15 -0.6453  0.4936  99  0.0100      False   tanh      16
16 -1.1477  0.5683  23  0.0100      False   relu     472
17 -0.6458  0.2311  24  0.0010       True   relu     778
18 -0.8449  0.2918  58  0.0100       True   tanh     382
19 -0.5020  0.2418  35  0.1000      False   tanh     596
