Melhores parâmetros: -0.194490 com {'epochs': 562, 'fun': 'relu', 'layer2': True, 'ln': 0.1, 'n': 25}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2124  0.1300  10  0.1000      False   relu      38
1  -0.2824  0.0962  17  0.1000       True   relu     716
2  -0.3484  0.3968   7  0.0100       True   tanh     130
3  -0.4766  0.3536  19  0.0010      False   tanh     282
4  -0.3371  0.2712  29  0.0010      False   relu     469
5  -0.3712  0.1457  88  0.1000      False   tanh     926
6  -0.4707  0.3866  95  0.0001       True   relu     984
7  -0.4995  0.4000  10  0.0100       True   tanh     865
8  -0.7560  0.8396  58  0.0010       True   relu       8
9  -0.3770  0.1577   9  0.0100      False   tanh     514
10 -0.4361  0.4079  73  0.0001       True   relu     729
11 -0.4041  0.3932  22  0.0010       True   relu     543
12 -0.1945  0.1352  25  0.1000       True   relu     562
13 -0.3128  0.2154  53  0.0010      False   relu     498
14 -0.4166  0.2295  83  0.0100       True   relu     337
15 -0.5296  0.3344  99  0.0100      False   tanh      16
16 -0.3020  0.1268  23  0.0100      False   relu     472
17 -0.3978  0.3683  24  0.0010       True   relu     778
18 -0.5791  0.4291  58  0.0100       True   tanh     382
19 -0.4348  0.2526  35  0.1000      False   tanh     596
