Melhores parâmetros: -0.152127 com {'epochs': 38, 'fun': 'relu', 'layer2': False, 'ln': 0.1, 'n': 10}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.1521  0.0781  10  0.1000      False   relu      38
1  -0.2096  0.1291  17  0.1000       True   relu     716
2  -0.2776  0.1013   7  0.0100       True   tanh     130
3  -0.5049  0.1862  19  0.0010      False   tanh     282
4  -0.2356  0.0943  29  0.0010      False   relu     469
5  -0.3347  0.2652  88  0.1000      False   tanh     926
6  -0.2806  0.1426  95  0.0001       True   relu     984
7  -0.3028  0.1734  10  0.0100       True   tanh     865
8  -0.6921  0.5955  58  0.0010       True   relu       8
9  -0.2330  0.1013   9  0.0100      False   tanh     514
10 -0.3597  0.1653  73  0.0001       True   relu     729
11 -0.3996  0.2288  22  0.0010       True   relu     543
12 -0.2674  0.1424  25  0.1000       True   relu     562
13 -0.2255  0.1265  53  0.0010      False   relu     498
14 -0.1908  0.0803  83  0.0100       True   relu     337
15 -0.5580  0.1941  99  0.0100      False   tanh      16
16 -0.3414  0.1805  23  0.0100      False   relu     472
17 -0.3469  0.1749  24  0.0010       True   relu     778
18 -0.2685  0.1596  58  0.0100       True   tanh     382
19 -0.3483  0.2899  35  0.1000      False   tanh     596
