Melhores parâmetros: -0.186045 com {'epochs': 596, 'fun': 'tanh', 'layer2': False, 'ln': 0.1, 'n': 35}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2422  0.1617  10  0.1000      False   relu      38
1  -0.2762  0.2933  17  0.1000       True   relu     716
2  -0.3441  0.2586   7  0.0100       True   tanh     130
3  -0.3264  0.1288  19  0.0010      False   tanh     282
4  -0.3517  0.0900  29  0.0010      False   relu     469
5  -0.3067  0.0964  88  0.1000      False   tanh     926
6  -0.3232  0.2300  95  0.0001       True   relu     984
7  -0.3245  0.3405  10  0.0100       True   tanh     865
8  -0.6461  0.5600  58  0.0010       True   relu       8
9  -0.1862  0.1737   9  0.0100      False   tanh     514
10 -0.3092  0.1710  73  0.0001       True   relu     729
11 -0.4506  0.2807  22  0.0010       True   relu     543
12 -0.3977  0.2641  25  0.1000       True   relu     562
13 -0.2890  0.1239  53  0.0010      False   relu     498
14 -0.3035  0.1524  83  0.0100       True   relu     337
15 -0.2883  0.1359  99  0.0100      False   tanh      16
16 -0.3285  0.1369  23  0.0100      False   relu     472
17 -0.2866  0.1951  24  0.0010       True   relu     778
18 -0.2673  0.1394  58  0.0100       True   tanh     382
19 -0.1860  0.1015  35  0.1000      False   tanh     596
