Melhores parâmetros: -0.114029 com {'epochs': 472, 'fun': 'relu', 'layer2': False, 'ln': 0.01, 'n': 23}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2749  0.1397  10  0.1000      False   relu      38
1  -0.4445  0.2780  17  0.1000       True   relu     716
2  -0.2721  0.1378   7  0.0100       True   tanh     130
3  -0.2478  0.2200  19  0.0010      False   tanh     282
4  -0.2431  0.1587  29  0.0010      False   relu     469
5  -0.4320  0.2186  88  0.1000      False   tanh     926
6  -0.3708  0.1971  95  0.0001       True   relu     984
7  -0.4546  0.1836  10  0.0100       True   tanh     865
8  -0.7879  0.5152  58  0.0010       True   relu       8
9  -0.2108  0.2072   9  0.0100      False   tanh     514
10 -0.2749  0.1663  73  0.0001       True   relu     729
11 -0.3359  0.2392  22  0.0010       True   relu     543
12 -0.3233  0.1284  25  0.1000       True   relu     562
13 -0.2111  0.1263  53  0.0010      False   relu     498
14 -0.2943  0.1498  83  0.0100       True   relu     337
15 -0.2537  0.1567  99  0.0100      False   tanh      16
16 -0.1140  0.0726  23  0.0100      False   relu     472
17 -0.4160  0.1886  24  0.0010       True   relu     778
18 -0.3894  0.0965  58  0.0100       True   tanh     382
19 -0.6069  0.2099  35  0.1000      False   tanh     596
