Melhores parâmetros: -0.181653 com {'epochs': 469, 'fun': 'relu', 'layer2': False, 'ln': 0.001, 'n': 29}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2934  0.2720  10  0.1000      False   relu      38
1  -0.4939  0.3117  17  0.1000       True   relu     716
2  -0.2892  0.2269   7  0.0100       True   tanh     130
3  -0.2486  0.2592  19  0.0010      False   tanh     282
4  -0.1817  0.1843  29  0.0010      False   relu     469
5  -0.4561  0.3279  88  0.1000      False   tanh     926
6  -0.2851  0.2399  95  0.0001       True   relu     984
7  -0.3842  0.1117  10  0.0100       True   tanh     865
8  -0.7056  0.5219  58  0.0010       True   relu       8
9  -0.3184  0.2829   9  0.0100      False   tanh     514
10 -0.2732  0.2400  73  0.0001       True   relu     729
11 -0.2965  0.2968  22  0.0010       True   relu     543
12 -0.2834  0.1950  25  0.1000       True   relu     562
13 -0.2377  0.2469  53  0.0010      False   relu     498
14 -0.3330  0.2731  83  0.0100       True   relu     337
15 -0.2531  0.2257  99  0.0100      False   tanh      16
16 -0.3035  0.2721  23  0.0100      False   relu     472
17 -0.4008  0.3129  24  0.0010       True   relu     778
18 -0.2675  0.2019  58  0.0100       True   tanh     382
19 -0.6989  0.4136  35  0.1000      False   tanh     596
