Melhores parâmetros: -0.285252 com {'epochs': 469, 'fun': 'relu', 'layer2': False, 'ln': 0.001, 'n': 29}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.4144  0.4257  10  0.1000      False   relu      38
1  -0.3873  0.4184  17  0.1000       True   relu     716
2  -0.3310  0.4298   7  0.0100       True   tanh     130
3  -0.5758  0.6739  19  0.0010      False   tanh     282
4  -0.2853  0.3882  29  0.0010      False   relu     469
5  -0.5711  0.5988  88  0.1000      False   tanh     926
6  -0.3211  0.2692  95  0.0001       True   relu     984
7  -0.4753  0.4133  10  0.0100       True   tanh     865
8  -0.7392  0.7652  58  0.0010       True   relu       8
9  -0.3158  0.3249   9  0.0100      False   tanh     514
10 -0.2903  0.2425  73  0.0001       True   relu     729
11 -0.3754  0.3805  22  0.0010       True   relu     543
12 -0.3951  0.2895  25  0.1000       True   relu     562
13 -0.2860  0.3206  53  0.0010      False   relu     498
14 -0.4035  0.2726  83  0.0100       True   relu     337
15 -0.5028  0.4558  99  0.0100      False   tanh      16
16 -0.4566  0.3995  23  0.0100      False   relu     472
17 -0.5158  0.4516  24  0.0010       True   relu     778
18 -0.4977  0.4902  58  0.0100       True   tanh     382
19 -0.5090  0.2920  35  0.1000      False   tanh     596
