Melhores parâmetros: -0.199940 com {'epochs': 16, 'fun': 'tanh', 'layer2': False, 'ln': 0.01, 'n': 99}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.3701  0.2540  10  0.1000      False   relu      38
1  -0.3891  0.3385  17  0.1000       True   relu     716
2  -0.3224  0.2559   7  0.0100       True   tanh     130
3  -0.2175  0.1923  19  0.0010      False   tanh     282
4  -0.2244  0.1760  29  0.0010      False   relu     469
5  -0.5645  0.0577  88  0.1000      False   tanh     926
6  -0.3307  0.1833  95  0.0001       True   relu     984
7  -0.3396  0.3383  10  0.0100       True   tanh     865
8  -0.6848  0.4301  58  0.0010       True   relu       8
9  -0.3983  0.2218   9  0.0100      False   tanh     514
10 -0.2853  0.1176  73  0.0001       True   relu     729
11 -0.2982  0.1541  22  0.0010       True   relu     543
12 -0.5152  0.2320  25  0.1000       True   relu     562
13 -0.2346  0.1686  53  0.0010      False   relu     498
14 -0.3355  0.1412  83  0.0100       True   relu     337
15 -0.1999  0.1866  99  0.0100      False   tanh      16
16 -0.5686  0.2036  23  0.0100      False   relu     472
17 -0.3228  0.1461  24  0.0010       True   relu     778
18 -0.3986  0.1190  58  0.0100       True   tanh     382
19 -0.5573  0.1953  35  0.1000      False   tanh     596
