Melhores parâmetros: -0.056715 com {'epochs': 926, 'fun': 'tanh', 'layer2': False, 'ln': 0.1, 'n': 88}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.1382  0.0660  10  0.1000      False   relu      38
1  -0.0586  0.0445  17  0.1000       True   relu     716
2  -0.1153  0.0526   7  0.0100       True   tanh     130
3  -0.3049  0.2107  19  0.0010      False   tanh     282
4  -0.1237  0.0708  29  0.0010      False   relu     469
5  -0.0567  0.0301  88  0.1000      False   tanh     926
6  -0.0782  0.0431  95  0.0001       True   relu     984
7  -0.0682  0.0204  10  0.0100       True   tanh     865
8  -0.7144  0.2524  58  0.0010       True   relu       8
9  -0.1631  0.0995   9  0.0100      False   tanh     514
10 -0.1060  0.0630  73  0.0001       True   relu     729
11 -0.0816  0.0573  22  0.0010       True   relu     543
12 -0.0752  0.0300  25  0.1000       True   relu     562
13 -0.1392  0.0858  53  0.0010      False   relu     498
14 -0.0761  0.0513  83  0.0100       True   relu     337
15 -0.2620  0.1925  99  0.0100      False   tanh      16
16 -0.0859  0.0558  23  0.0100      False   relu     472
17 -0.1062  0.0204  24  0.0010       True   relu     778
18 -0.1213  0.0335  58  0.0100       True   tanh     382
19 -0.3144  0.1788  35  0.1000      False   tanh     596
