Melhores parâmetros: -0.050751 com {'epochs': 472, 'fun': 'relu', 'layer2': False, 'ln': 0.01, 'n': 23}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0930  0.0587  10  0.1000      False   relu      38
1  -0.1439  0.0808  17  0.1000       True   relu     716
2  -0.0569  0.0307   7  0.0100       True   tanh     130
3  -0.1365  0.0685  19  0.0010      False   tanh     282
4  -0.1097  0.0836  29  0.0010      False   relu     469
5  -0.0571  0.0392  88  0.1000      False   tanh     926
6  -0.1558  0.1053  95  0.0001       True   relu     984
7  -0.0632  0.0456  10  0.0100       True   tanh     865
8  -0.5109  0.1966  58  0.0010       True   relu       8
9  -0.0789  0.0573   9  0.0100      False   tanh     514
10 -0.1783  0.1080  73  0.0001       True   relu     729
11 -0.2059  0.1367  22  0.0010       True   relu     543
12 -0.0677  0.0281  25  0.1000       True   relu     562
13 -0.0835  0.0362  53  0.0010      False   relu     498
14 -0.1216  0.0534  83  0.0100       True   relu     337
15 -0.0671  0.0494  99  0.0100      False   tanh      16
16 -0.0508  0.0291  23  0.0100      False   relu     472
17 -0.1363  0.0570  24  0.0010       True   relu     778
18 -0.0543  0.0319  58  0.0100       True   tanh     382
19 -0.1118  0.1099  35  0.1000      False   tanh     596
