Melhores parâmetros: -0.084171 com {'epochs': 16, 'fun': 'tanh', 'layer2': False, 'ln': 0.01, 'n': 99}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.1189  0.0660  10  0.1000      False   relu      38
1  -0.1384  0.1496  17  0.1000       True   relu     716
2  -0.0958  0.0926   7  0.0100       True   tanh     130
3  -0.1153  0.0590  19  0.0010      False   tanh     282
4  -0.1095  0.0914  29  0.0010      False   relu     469
5  -0.0869  0.0731  88  0.1000      False   tanh     926
6  -0.1813  0.1788  95  0.0001       True   relu     984
7  -0.1119  0.0783  10  0.0100       True   tanh     865
8  -0.4231  0.2391  58  0.0010       True   relu       8
9  -0.1177  0.1155   9  0.0100      False   tanh     514
10 -0.2496  0.1201  73  0.0001       True   relu     729
11 -0.2523  0.1689  22  0.0010       True   relu     543
12 -0.2246  0.0886  25  0.1000       True   relu     562
13 -0.1691  0.0385  53  0.0010      False   relu     498
14 -0.1475  0.0854  83  0.0100       True   relu     337
15 -0.0842  0.0258  99  0.0100      False   tanh      16
16 -0.0900  0.0685  23  0.0100      False   relu     472
17 -0.1393  0.1158  24  0.0010       True   relu     778
18 -0.0856  0.0755  58  0.0100       True   tanh     382
19 -0.1385  0.1791  35  0.1000      False   tanh     596
