Melhores parâmetros: -0.026942 com {'epochs': 514, 'fun': 'tanh', 'layer2': False, 'ln': 0.01, 'n': 9}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0389  0.0283  10  0.1000      False   relu      38
1  -0.1061  0.0669  17  0.1000       True   relu     716
2  -0.0359  0.0235   7  0.0100       True   tanh     130
3  -0.0735  0.0373  19  0.0010      False   tanh     282
4  -0.0749  0.0744  29  0.0010      False   relu     469
5  -0.0521  0.0239  88  0.1000      False   tanh     926
6  -0.1409  0.1101  95  0.0001       True   relu     984
7  -0.0459  0.0337  10  0.0100       True   tanh     865
8  -0.4236  0.2508  58  0.0010       True   relu       8
9  -0.0269  0.0302   9  0.0100      False   tanh     514
10 -0.1515  0.0822  73  0.0001       True   relu     729
11 -0.1829  0.1910  22  0.0010       True   relu     543
12 -0.0872  0.0769  25  0.1000       True   relu     562
13 -0.0643  0.0516  53  0.0010      False   relu     498
14 -0.1100  0.0625  83  0.0100       True   relu     337
15 -0.0769  0.0583  99  0.0100      False   tanh      16
16 -0.0387  0.0272  23  0.0100      False   relu     472
17 -0.0923  0.0733  24  0.0010       True   relu     778
18 -0.0650  0.0341  58  0.0100       True   tanh     382
19 -0.1398  0.1572  35  0.1000      False   tanh     596
