Melhores parâmetros: -0.254362 com {'epochs': 130, 'fun': 'tanh', 'layer2': True, 'ln': 0.01, 'n': 7}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.3208  0.2335  10  0.1000      False   relu      38
1  -0.2921  0.2609  17  0.1000       True   relu     716
2  -0.2544  0.2503   7  0.0100       True   tanh     130
3  -0.3668  0.2961  19  0.0010      False   tanh     282
4  -0.3166  0.3535  29  0.0010      False   relu     469
5  -1.2564  0.8674  88  0.1000      False   tanh     926
6  -0.3745  0.3219  95  0.0001       True   relu     984
7  -0.3687  0.3120  10  0.0100       True   tanh     865
8  -0.7188  0.2598  58  0.0010       True   relu       8
9  -0.3406  0.3186   9  0.0100      False   tanh     514
10 -0.3447  0.2916  73  0.0001       True   relu     729
11 -0.4083  0.3190  22  0.0010       True   relu     543
12 -0.6457  0.5700  25  0.1000       True   relu     562
13 -0.3436  0.3464  53  0.0010      False   relu     498
14 -0.5244  0.3792  83  0.0100       True   relu     337
15 -0.3975  0.2698  99  0.0100      False   tanh      16
16 -0.3520  0.3996  23  0.0100      False   relu     472
17 -0.5258  0.3696  24  0.0010       True   relu     778
18 -0.4930  0.2596  58  0.0100       True   tanh     382
19 -0.8407  0.6221  35  0.1000      False   tanh     596
