Melhores parâmetros: -0.133426 com {'epochs': 984, 'fun': 'relu', 'layer2': True, 'ln': 0.0001, 'n': 95}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2192  0.1163  10  0.1000      False   relu      38
1  -0.2400  0.1828  17  0.1000       True   relu     716
2  -0.1863  0.0939   7  0.0100       True   tanh     130
3  -0.2370  0.1948  19  0.0010      False   tanh     282
4  -0.1474  0.1211  29  0.0010      False   relu     469
5  -0.1579  0.1010  88  0.1000      False   tanh     926
6  -0.1334  0.0744  95  0.0001       True   relu     984
7  -0.1721  0.1288  10  0.0100       True   tanh     865
8  -0.6455  0.4539  58  0.0010       True   relu       8
9  -0.1662  0.1039   9  0.0100      False   tanh     514
10 -0.1360  0.0857  73  0.0001       True   relu     729
11 -0.1695  0.1077  22  0.0010       True   relu     543
12 -0.1853  0.1368  25  0.1000       True   relu     562
13 -0.1831  0.1411  53  0.0010      False   relu     498
14 -0.1780  0.0933  83  0.0100       True   relu     337
15 -0.2892  0.2197  99  0.0100      False   tanh      16
16 -0.1821  0.1490  23  0.0100      False   relu     472
17 -0.2075  0.1014  24  0.0010       True   relu     778
18 -0.1854  0.0840  58  0.0100       True   tanh     382
19 -0.1941  0.1047  35  0.1000      False   tanh     596
