Melhores parâmetros: -0.034125 com {'epochs': 130, 'fun': 'tanh', 'layer2': True, 'ln': 0.01, 'n': 7}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0614  0.0302  10  0.1000      False   relu      38
1  -0.1000  0.1027  17  0.1000       True   relu     716
2  -0.0341  0.0395   7  0.0100       True   tanh     130
3  -0.1689  0.0531  19  0.0010      False   tanh     282
4  -0.1121  0.0587  29  0.0010      False   relu     469
5  -0.0506  0.0379  88  0.1000      False   tanh     926
6  -0.1159  0.0768  95  0.0001       True   relu     984
7  -0.1414  0.2099  10  0.0100       True   tanh     865
8  -0.7821  0.4723  58  0.0010       True   relu       8
9  -0.0645  0.0825   9  0.0100      False   tanh     514
10 -0.1005  0.0629  73  0.0001       True   relu     729
11 -0.2581  0.2085  22  0.0010       True   relu     543
12 -0.0487  0.0277  25  0.1000       True   relu     562
13 -0.0533  0.0250  53  0.0010      False   relu     498
14 -0.1350  0.1102  83  0.0100       True   relu     337
15 -0.2203  0.1036  99  0.0100      False   tanh      16
16 -0.0350  0.0178  23  0.0100      False   relu     472
17 -0.1296  0.0950  24  0.0010       True   relu     778
18 -0.0769  0.0426  58  0.0100       True   tanh     382
19 -0.1211  0.0634  35  0.1000      False   tanh     596
