Melhores parâmetros: -0.017474 com {'epochs': 514, 'fun': 'tanh', 'layer2': False, 'ln': 0.01, 'n': 9}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0661  0.0459  10  0.1000      False   relu      38
1  -0.0781  0.0725  17  0.1000       True   relu     716
2  -0.1076  0.0781   7  0.0100       True   tanh     130
3  -0.1201  0.0469  19  0.0010      False   tanh     282
4  -0.0240  0.0168  29  0.0010      False   relu     469
5  -0.0789  0.0580  88  0.1000      False   tanh     926
6  -0.0450  0.0387  95  0.0001       True   relu     984
7  -0.0401  0.0191  10  0.0100       True   tanh     865
8  -0.6404  0.4656  58  0.0010       True   relu       8
9  -0.0175  0.0097   9  0.0100      False   tanh     514
10 -0.0469  0.0210  73  0.0001       True   relu     729
11 -0.0487  0.0347  22  0.0010       True   relu     543
12 -0.0444  0.0365  25  0.1000       True   relu     562
13 -0.0275  0.0070  53  0.0010      False   relu     498
14 -0.0331  0.0155  83  0.0100       True   relu     337
15 -0.1121  0.0356  99  0.0100      False   tanh      16
16 -0.0286  0.0196  23  0.0100      False   relu     472
17 -0.0439  0.0193  24  0.0010       True   relu     778
18 -0.0366  0.0130  58  0.0100       True   tanh     382
19 -0.0819  0.0460  35  0.1000      False   tanh     596
