Melhores parâmetros: -0.108156 com {'epochs': 498, 'fun': 'relu', 'layer2': False, 'ln': 0.001, 'n': 53}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.1392  0.1446  10  0.1000      False   relu      38
1  -0.1381  0.1245  17  0.1000       True   relu     716
2  -0.1475  0.1152   7  0.0100       True   tanh     130
3  -0.3148  0.1918  19  0.0010      False   tanh     282
4  -0.1479  0.1192  29  0.0010      False   relu     469
5  -0.3046  0.1941  88  0.1000      False   tanh     926
6  -0.1411  0.1193  95  0.0001       True   relu     984
7  -0.2449  0.1966  10  0.0100       True   tanh     865
8  -0.7799  0.5303  58  0.0010       True   relu       8
9  -0.2380  0.1353   9  0.0100      False   tanh     514
10 -0.1145  0.1118  73  0.0001       True   relu     729
11 -0.1198  0.0834  22  0.0010       True   relu     543
12 -0.1786  0.1239  25  0.1000       True   relu     562
13 -0.1082  0.0964  53  0.0010      False   relu     498
14 -0.1631  0.1274  83  0.0100       True   relu     337
15 -0.4448  0.2555  99  0.0100      False   tanh      16
16 -0.2179  0.1411  23  0.0100      False   relu     472
17 -0.2253  0.1885  24  0.0010       True   relu     778
18 -0.2998  0.1909  58  0.0100       True   tanh     382
19 -0.3556  0.2028  35  0.1000      False   tanh     596
