Melhores parâmetros: -0.028526 com {'epochs': 472, 'fun': 'relu', 'layer2': False, 'ln': 0.01, 'n': 23}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0592  0.0668  10  0.1000      False   relu      38
1  -0.0591  0.0471  17  0.1000       True   relu     716
2  -0.1297  0.0819   7  0.0100       True   tanh     130
3  -0.1561  0.1000  19  0.0010      False   tanh     282
4  -0.0651  0.0479  29  0.0010      False   relu     469
5  -0.0896  0.0589  88  0.1000      False   tanh     926
6  -0.0437  0.0244  95  0.0001       True   relu     984
7  -0.0825  0.0427  10  0.0100       True   tanh     865
8  -0.6341  0.4247  58  0.0010       True   relu       8
9  -0.0328  0.0138   9  0.0100      False   tanh     514
10 -0.0597  0.0447  73  0.0001       True   relu     729
11 -0.0360  0.0134  22  0.0010       True   relu     543
12 -0.0477  0.0306  25  0.1000       True   relu     562
13 -0.0596  0.0405  53  0.0010      False   relu     498
14 -0.0494  0.0261  83  0.0100       True   relu     337
15 -0.0960  0.0604  99  0.0100      False   tanh      16
16 -0.0285  0.0117  23  0.0100      False   relu     472
17 -0.0489  0.0323  24  0.0010       True   relu     778
18 -0.0724  0.0199  58  0.0100       True   tanh     382
19 -0.0985  0.0687  35  0.1000      False   tanh     596
