Melhores parâmetros: -0.291523 com {'epochs': 337, 'fun': 'relu', 'layer2': True, 'ln': 0.01, 'n': 83}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.6435  0.6061  10  0.1000      False   relu      38
1  -0.4508  0.3275  17  0.1000       True   relu     716
2  -0.4355  0.3780   7  0.0100       True   tanh     130
3  -0.5446  0.3941  19  0.0010      False   tanh     282
4  -0.5249  0.3950  29  0.0010      False   relu     469
5  -0.4668  0.1948  88  0.1000      False   tanh     926
6  -0.3407  0.2425  95  0.0001       True   relu     984
7  -0.6175  0.3683  10  0.0100       True   tanh     865
8  -0.8275  0.6981  58  0.0010       True   relu       8
9  -0.4470  0.4681   9  0.0100      False   tanh     514
10 -0.3648  0.2721  73  0.0001       True   relu     729
11 -0.3189  0.2324  22  0.0010       True   relu     543
12 -0.5138  0.4274  25  0.1000       True   relu     562
13 -0.3601  0.2662  53  0.0010      False   relu     498
14 -0.2915  0.2490  83  0.0100       True   relu     337
15 -0.7233  0.5992  99  0.0100      False   tanh      16
16 -0.3490  0.3973  23  0.0100      False   relu     472
17 -0.3202  0.2325  24  0.0010       True   relu     778
18 -0.4823  0.2636  58  0.0100       True   tanh     382
19 -0.4206  0.0965  35  0.1000      False   tanh     596
