Melhores parâmetros: -0.015243 com {'epochs': 382, 'fun': 'tanh', 'layer2': True, 'ln': 0.01, 'n': 58}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0501  0.0628  10  0.1000      False   relu      38
1  -0.0599  0.0343  17  0.1000       True   relu     716
2  -0.1183  0.1113   7  0.0100       True   tanh     130
3  -0.1466  0.0782  19  0.0010      False   tanh     282
4  -0.0385  0.0272  29  0.0010      False   relu     469
5  -0.1341  0.1770  88  0.1000      False   tanh     926
6  -0.0437  0.0419  95  0.0001       True   relu     984
7  -0.0442  0.0521  10  0.0100       True   tanh     865
8  -0.6218  0.4494  58  0.0010       True   relu       8
9  -0.0365  0.0335   9  0.0100      False   tanh     514
10 -0.0565  0.0433  73  0.0001       True   relu     729
11 -0.0759  0.0657  22  0.0010       True   relu     543
12 -0.0233  0.0113  25  0.1000       True   relu     562
13 -0.0337  0.0225  53  0.0010      False   relu     498
14 -0.0246  0.0143  83  0.0100       True   relu     337
15 -0.1079  0.0670  99  0.0100      False   tanh      16
16 -0.0384  0.0271  23  0.0100      False   relu     472
17 -0.0599  0.0581  24  0.0010       True   relu     778
18 -0.0152  0.0123  58  0.0100       True   tanh     382
19 -0.1264  0.1519  35  0.1000      False   tanh     596
