Melhores parâmetros: -0.017696 com {'epochs': 337, 'fun': 'relu', 'layer2': True, 'ln': 0.01, 'n': 83}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0278  0.0251  10  0.1000      False   relu      38
1  -0.0329  0.0465  17  0.1000       True   relu     716
2  -0.0582  0.0604   7  0.0100       True   tanh     130
3  -0.1245  0.0723  19  0.0010      False   tanh     282
4  -0.0875  0.0475  29  0.0010      False   relu     469
5  -0.0590  0.0645  88  0.1000      False   tanh     926
6  -0.0608  0.0454  95  0.0001       True   relu     984
7  -0.0251  0.0207  10  0.0100       True   tanh     865
8  -0.7219  0.2098  58  0.0010       True   relu       8
9  -0.0534  0.0487   9  0.0100      False   tanh     514
10 -0.0739  0.0540  73  0.0001       True   relu     729
11 -0.0901  0.1452  22  0.0010       True   relu     543
12 -0.0254  0.0163  25  0.1000       True   relu     562
13 -0.0686  0.0312  53  0.0010      False   relu     498
14 -0.0177  0.0101  83  0.0100       True   relu     337
15 -0.1458  0.0943  99  0.0100      False   tanh      16
16 -0.0474  0.0367  23  0.0100      False   relu     472
17 -0.0782  0.0647  24  0.0010       True   relu     778
18 -0.0268  0.0064  58  0.0100       True   tanh     382
19 -0.1088  0.1098  35  0.1000      False   tanh     596
