Melhores parâmetros: -0.021406 com {'epochs': 514, 'fun': 'tanh', 'layer2': False, 'ln': 0.01, 'n': 9}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0769  0.0388  10  0.1000      False   relu      38
1  -0.0441  0.0501  17  0.1000       True   relu     716
2  -0.0622  0.0618   7  0.0100       True   tanh     130
3  -0.1530  0.1587  19  0.0010      False   tanh     282
4  -0.0552  0.0463  29  0.0010      False   relu     469
5  -0.0763  0.0489  88  0.1000      False   tanh     926
6  -0.0605  0.0433  95  0.0001       True   relu     984
7  -0.0551  0.0365  10  0.0100       True   tanh     865
8  -0.6424  0.4458  58  0.0010       True   relu       8
9  -0.0214  0.0175   9  0.0100      False   tanh     514
10 -0.0853  0.0587  73  0.0001       True   relu     729
11 -0.0682  0.0407  22  0.0010       True   relu     543
12 -0.0228  0.0148  25  0.1000       True   relu     562
13 -0.0462  0.0481  53  0.0010      False   relu     498
14 -0.0614  0.0325  83  0.0100       True   relu     337
15 -0.1248  0.1662  99  0.0100      False   tanh      16
16 -0.0224  0.0130  23  0.0100      False   relu     472
17 -0.0720  0.0696  24  0.0010       True   relu     778
18 -0.0509  0.0199  58  0.0100       True   tanh     382
19 -0.0852  0.0521  35  0.1000      False   tanh     596
