Melhores parâmetros: -0.215352 com {'epochs': 472, 'fun': 'relu', 'layer2': False, 'ln': 0.01, 'n': 23}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.5470  0.4828  10  0.1000      False   relu      38
1  -0.3891  0.3716  17  0.1000       True   relu     716
2  -0.4604  0.2890   7  0.0100       True   tanh     130
3  -1.0772  0.5388  19  0.0010      False   tanh     282
4  -0.4357  0.4113  29  0.0010      False   relu     469
5  -0.3635  0.2178  88  0.1000      False   tanh     926
6  -0.3903  0.2503  95  0.0001       True   relu     984
7  -0.4267  0.2134  10  0.0100       True   tanh     865
8  -0.8385  0.4106  58  0.0010       True   relu       8
9  -0.6065  0.5915   9  0.0100      False   tanh     514
10 -0.3318  0.2698  73  0.0001       True   relu     729
11 -0.3279  0.2267  22  0.0010       True   relu     543
12 -0.3582  0.2989  25  0.1000       True   relu     562
13 -0.4412  0.4213  53  0.0010      False   relu     498
14 -0.2855  0.2710  83  0.0100       True   relu     337
15 -1.2610  0.5437  99  0.0100      False   tanh      16
16 -0.2154  0.1245  23  0.0100      False   relu     472
17 -0.2864  0.2004  24  0.0010       True   relu     778
18 -0.4416  0.2344  58  0.0100       True   tanh     382
19 -0.5828  0.6726  35  0.1000      False   tanh     596
