Melhores parâmetros: -0.016967 com {'epochs': 472, 'fun': 'relu', 'layer2': False, 'ln': 0.01, 'n': 23}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0524  0.0089  10  0.1000      False   relu      38
1  -0.0307  0.0227  17  0.1000       True   relu     716
2  -0.0782  0.0758   7  0.0100       True   tanh     130
3  -0.2467  0.2125  19  0.0010      False   tanh     282
4  -0.0593  0.0483  29  0.0010      False   relu     469
5  -0.0406  0.0273  88  0.1000      False   tanh     926
6  -0.0530  0.0292  95  0.0001       True   relu     984
7  -0.0253  0.0098  10  0.0100       True   tanh     865
8  -0.6704  0.3879  58  0.0010       True   relu       8
9  -0.0333  0.0166   9  0.0100      False   tanh     514
10 -0.0516  0.0186  73  0.0001       True   relu     729
11 -0.0671  0.0395  22  0.0010       True   relu     543
12 -0.0328  0.0261  25  0.1000       True   relu     562
13 -0.0593  0.0437  53  0.0010      False   relu     498
14 -0.0303  0.0146  83  0.0100       True   relu     337
15 -0.2570  0.2011  99  0.0100      False   tanh      16
16 -0.0170  0.0145  23  0.0100      False   relu     472
17 -0.0715  0.0752  24  0.0010       True   relu     778
18 -0.0281  0.0273  58  0.0100       True   tanh     382
19 -0.0858  0.0512  35  0.1000      False   tanh     596
