Melhores parâmetros: -1.089756 com {'epochs': 282, 'fun': 'tanh', 'layer2': False, 'ln': 0.001, 'n': 19}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -2.3942  1.2825  10  0.1000      False   relu      38
1  -1.2350  0.7196  17  0.1000       True   relu     716
2  -1.6257  0.6233   7  0.0100       True   tanh     130
3  -1.0898  0.8715  19  0.0010      False   tanh     282
4  -1.4641  1.0076  29  0.0010      False   relu     469
5  -1.1658  0.6060  88  0.1000      False   tanh     926
6  -1.5081  1.0551  95  0.0001       True   relu     984
7  -1.2550  0.7102  10  0.0100       True   tanh     865
8  -1.1613  1.0453  58  0.0010       True   relu       8
9  -1.7945  0.7163   9  0.0100      False   tanh     514
10 -1.4830  1.0223  73  0.0001       True   relu     729
11 -1.6449  1.1318  22  0.0010       True   relu     543
12 -1.5702  0.6807  25  0.1000       True   relu     562
13 -1.8172  1.1568  53  0.0010      False   relu     498
14 -1.6286  1.3945  83  0.0100       True   relu     337
15 -1.1438  0.9482  99  0.0100      False   tanh      16
16 -3.7888  2.7979  23  0.0100      False   relu     472
17 -1.4421  1.2788  24  0.0010       True   relu     778
18 -1.6410  0.7035  58  0.0100       True   tanh     382
19 -1.8495  0.4620  35  0.1000      False   tanh     596
