Melhores parâmetros: -0.425257 com {'epochs': 337, 'fun': 'relu', 'layer2': True, 'ln': 0.01, 'n': 83}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.6784  0.5878  10  0.1000      False   relu      38
1  -1.2177  1.2232  17  0.1000       True   relu     716
2  -0.5866  0.1711   7  0.0100       True   tanh     130
3  -0.7594  0.2033  19  0.0010      False   tanh     282
4  -0.6252  0.2271  29  0.0010      False   relu     469
5  -0.6433  0.2821  88  0.1000      False   tanh     926
6  -0.5150  0.2465  95  0.0001       True   relu     984
7  -0.6116  0.3289  10  0.0100       True   tanh     865
8  -0.7772  0.3041  58  0.0010       True   relu       8
9  -0.9367  0.4381   9  0.0100      False   tanh     514
10 -0.4270  0.2344  73  0.0001       True   relu     729
11 -0.6016  0.2192  22  0.0010       True   relu     543
12 -0.9475  0.5038  25  0.1000       True   relu     562
13 -0.7339  0.2153  53  0.0010      False   relu     498
14 -0.4253  0.2267  83  0.0100       True   relu     337
15 -0.7855  0.2040  99  0.0100      False   tanh      16
16 -1.3605  0.7194  23  0.0100      False   relu     472
17 -0.5309  0.2528  24  0.0010       True   relu     778
18 -0.8871  0.2710  58  0.0100       True   tanh     382
19 -0.6838  0.4349  35  0.1000      False   tanh     596
