Melhores parâmetros: -0.054477 com {'epochs': 337, 'fun': 'relu', 'layer2': True, 'ln': 0.01, 'n': 83}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0573  0.0373  10  0.1000      False   relu      38
1  -0.0809  0.0605  17  0.1000       True   relu     716
2  -0.0558  0.0309   7  0.0100       True   tanh     130
3  -0.0848  0.0405  19  0.0010      False   tanh     282
4  -0.0559  0.0318  29  0.0010      False   relu     469
5  -0.0958  0.0759  88  0.1000      False   tanh     926
6  -0.0749  0.0378  95  0.0001       True   relu     984
7  -0.0820  0.0518  10  0.0100       True   tanh     865
8  -0.6158  0.3846  58  0.0010       True   relu       8
9  -0.0552  0.0293   9  0.0100      False   tanh     514
10 -0.0816  0.0639  73  0.0001       True   relu     729
11 -0.0838  0.0647  22  0.0010       True   relu     543
12 -0.0745  0.0561  25  0.1000       True   relu     562
13 -0.0581  0.0249  53  0.0010      False   relu     498
14 -0.0545  0.0333  83  0.0100       True   relu     337
15 -0.3184  0.2543  99  0.0100      False   tanh      16
16 -0.0647  0.0277  23  0.0100      False   relu     472
17 -0.0914  0.0518  24  0.0010       True   relu     778
18 -0.0572  0.0112  58  0.0100       True   tanh     382
19 -0.0779  0.0426  35  0.1000      False   tanh     596
