Melhores parâmetros: -0.407073 com {'epochs': 498, 'fun': 'relu', 'layer2': False, 'ln': 0.001, 'n': 53}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.6179  0.3965  10  0.1000      False   relu      38
1  -0.5479  0.3705  17  0.1000       True   relu     716
2  -0.6145  0.6153   7  0.0100       True   tanh     130
3  -0.8325  0.9440  19  0.0010      False   tanh     282
4  -0.4707  0.5475  29  0.0010      False   relu     469
5  -1.0024  0.6220  88  0.1000      False   tanh     926
6  -0.5364  0.5169  95  0.0001       True   relu     984
7  -0.5385  0.3812  10  0.0100       True   tanh     865
8  -0.9110  0.6938  58  0.0010       True   relu       8
9  -0.6738  0.4013   9  0.0100      False   tanh     514
10 -0.4320  0.4104  73  0.0001       True   relu     729
11 -0.5219  0.4945  22  0.0010       True   relu     543
12 -0.7071  0.3835  25  0.1000       True   relu     562
13 -0.4071  0.4486  53  0.0010      False   relu     498
14 -0.5023  0.4721  83  0.0100       True   relu     337
15 -1.2494  1.0796  99  0.0100      False   tanh      16
16 -0.5034  0.3805  23  0.0100      False   relu     472
17 -0.4951  0.4908  24  0.0010       True   relu     778
18 -0.7526  0.3095  58  0.0100       True   tanh     382
19 -1.1549  0.6510  35  0.1000      False   tanh     596
