Melhores parâmetros: -0.002244 com {'epochs': 382, 'fun': 'tanh', 'layer2': True, 'ln': 0.01, 'n': 58}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0088  0.0037  10  0.1000      False   relu      38
1  -0.0081  0.0102  17  0.1000       True   relu     716
2  -0.0071  0.0067   7  0.0100       True   tanh     130
3  -0.0058  0.0024  19  0.0010      False   tanh     282
4  -0.0078  0.0069  29  0.0010      False   relu     469
5  -0.0049  0.0034  88  0.1000      False   tanh     926
6  -0.0158  0.0248  95  0.0001       True   relu     984
7  -0.0162  0.0164  10  0.0100       True   tanh     865
8  -0.5682  0.3071  58  0.0010       True   relu       8
9  -0.0066  0.0051   9  0.0100      False   tanh     514
10 -0.0171  0.0195  73  0.0001       True   relu     729
11 -0.0493  0.0361  22  0.0010       True   relu     543
12 -0.0022  0.0018  25  0.1000       True   relu     562
13 -0.0080  0.0062  53  0.0010      False   relu     498
14 -0.0049  0.0018  83  0.0100       True   relu     337
15 -0.1156  0.0533  99  0.0100      False   tanh      16
16 -0.0037  0.0030  23  0.0100      False   relu     472
17 -0.0277  0.0142  24  0.0010       True   relu     778
18 -0.0022  0.0017  58  0.0100       True   tanh     382
19 -0.0051  0.0029  35  0.1000      False   tanh     596
